"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2024","0.138163","0.139022","0.139319","0.137688","411.05M","-0.62%"
"02/22/2024","0.139020","0.139709","0.140186","0.138638","489.65M","-0.53%"
"02/21/2024","0.139757","0.139192","0.140472","0.138521","689.85M","0.40%"
"02/20/2024","0.139200","0.136364","0.139953","0.135896","651.56M","2.08%"
"02/19/2024","0.136364","0.135183","0.136765","0.135092","429.49M","0.87%"
"02/18/2024","0.135185","0.135891","0.136043","0.134704","355.93M","-0.52%"
"02/17/2024","0.135891","0.132823","0.139358","0.132569","775.69M","2.30%"
"02/16/2024","0.132834","0.131045","0.132893","0.130814","484.16M","1.36%"
"02/15/2024","0.131050","0.129537","0.131757","0.129513","630.59M","1.17%"
"02/14/2024","0.129537","0.126860","0.129884","0.126497","517.49M","2.10%"
"02/13/2024","0.126877","0.124997","0.126972","0.124540","458.46M","1.51%"
"02/12/2024","0.124995","0.124208","0.125743","0.123581","454.51M","0.64%"
"02/11/2024","0.124205","0.124344","0.124883","0.124046","271.42M","-0.11%"
"02/10/2024","0.124344","0.123709","0.124525","0.122988","295.58M","0.51%"
"02/09/2024","0.123708","0.121924","0.123814","0.121775","467.35M","1.47%"
"02/08/2024","0.121919","0.123597","0.126784","0.121120","510.39M","-1.36%"
"02/07/2024","0.123595","0.120988","0.126327","0.120886","434.79M","2.16%"
"02/06/2024","0.120985","0.119000","0.126217","0.118923","506.66M","1.67%"
"02/05/2024","0.119000","0.118426","0.119861","0.117919","411.01M","0.48%"
"02/04/2024","0.118433","0.117235","0.118978","0.116984","270.65M","1.03%"
"02/03/2024","0.117231","0.116351","0.117416","0.116042","227.66M","0.76%"
"02/02/2024","0.116346","0.115643","0.117952","0.115521","438.68M","0.61%"
"02/01/2024","0.115638","0.112264","0.115783","0.111792","466.48M","3.00%"
"01/31/2024","0.112266","0.112040","0.113535","0.111437","538.29M","0.20%"
"01/30/2024","0.112040","0.113031","0.113107","0.111793","356.85M","-0.88%"
"01/29/2024","0.113031","0.112228","0.114314","0.112040","440.98M","0.72%"
"01/28/2024","0.112228","0.112442","0.113481","0.111614","330.44M","-0.19%"
"01/27/2024","0.112442","0.114470","0.116506","0.112136","397.87M","-1.76%"
"01/26/2024","0.114456","0.112097","0.115219","0.112097","461.07M","2.10%"
